CropName;Province;Area;Production
Barley;Punjab;230;68
Barley;Punjab;336;123
Barley;Punjab;277;90
Barley;Punjab;256;79
Barley;Punjab;253;64
Barley;Punjab;267;52
Barley;Punjab;300;79
Barley;Punjab;287;57
Barley;Punjab;259;61.9
Barley;Punjab;266;68
Barley;Punjab;287;84.2
Barley;Punjab;287;72.3
Barley;Punjab;340;61
Barley;Punjab;268;73
Barley;Punjab;270;68
Barley;Punjab;280;71.4
Barley;Punjab;259;64.7
Barley;Punjab;231;70.3
Barley;Punjab;184;43.6
Barley;Punjab;214;51.6
Barley;Punjab;241;64.8
Barley;Punjab;205;55.6
Barley;Punjab;202;57
Barley;Punjab;176.93;46.7
Barley;Punjab;193.98;51.8
Barley;Punjab;245.13;64.8
Barley;Punjab;280.96;75.8
Barley;Punjab;258.97;74
Barley;Punjab;244.89;68.8
Barley;Punjab;222.15;64.5
Barley;Punjab;192.99;55.4
Barley;Punjab;221.9;65.1
Barley;Punjab;192.99;59.8
Barley;Punjab;438.87;112.5
Barley;Punjab;315.07;85.7
Barley;Punjab;335.82;90
Barley;Punjab;189.29;55
Barley;Punjab;162.6;45.7
Barley;Punjab;173.72;49.8
Barley;Punjab;151.23;43.9
Barley;Punjab;117.87;35.1
Barley;Punjab;135.91;39.7
Barley;Punjab;122.07;37.4
Barley;Punjab;113.42;34.9
Barley;Punjab;97.61;31.9
Barley;Punjab;95.63;31.1
Barley;Punjab;89.45;29.4
Barley;Punjab;100.08;34.6
Barley;Punjab;103.79;36.3
Barley;Punjab;94.89;33.9
Barley;Punjab;98.84;41.8
Barley;Punjab;90.44;36.9
Barley;Punjab;88.22;39.5
Barley;Punjab;79.08;32.8
Barley;Punjab;86.98;33.7
Barley;Punjab;98.6;38.4
Barley;Punjab;92.91;35.8
Barley;Punjab;88.71;35.2
Barley;Punjab;85.99;32
Barley;Punjab;91.43;34.6
Barley;Punjab;81.05;28.9
Barley;Punjab;81.55;30.4
Barley;Punjab;77.59;28.2
Barley;Punjab;63.26;24.7
Barley;Punjab;56.59;20
Barley;Punjab;62.02;22.5
Barley;Punjab;59.31;21.7
Barley;Punjab;59.8;20.8
Barley;Punjab;57.08;20.1
Barley;Punjab;53.13;20.1
Barley;Punjab;51.4;19
Barley;Punjab;48.19;17.7
Barley;Punjab;31;12.63
Barley;Sindh;22;3
Barley;Sindh;32;8
Barley;Sindh;33;6
Barley;Sindh;29;7
Barley;Sindh;18;4
Barley;Sindh;19;5
Barley;Sindh;20;4
Barley;Sindh;19;2
Barley;Sindh;24;5.2
Barley;Sindh;24;4.1
Barley;Sindh;19;6.5
Barley;Sindh;22;4
Barley;Sindh;24;4
Barley;Sindh;15;4
Barley;Sindh;20;5
Barley;Sindh;21;7.9
Barley;Sindh;13;6.1
Barley;Sindh;25;9.9
Barley;Sindh;27;7.4
Barley;Sindh;27;7
Barley;Sindh;31;7.8
Barley;Sindh;33;8.3
Barley;Sindh;32;8
Barley;Sindh;27.92;6.1
Barley;Sindh;22.49;4.7
Barley;Sindh;29.65;6.3
Barley;Sindh;43.99;9.4
Barley;Sindh;34.6;6.9
Barley;Sindh;42.75;8.8
Barley;Sindh;49.17;10.1
Barley;Sindh;53.87;11.2
Barley;Sindh;50.9;10.8
Barley;Sindh;46.46;9.7
Barley;Sindh;32.37;7
Barley;Sindh;45.72;9.9
Barley;Sindh;50.66;10.9
Barley;Sindh;65.73;13.7
Barley;Sindh;62.77;13
Barley;Sindh;62.77;13
Barley;Sindh;61.04;12.6
Barley;Sindh;63.75;12.9
Barley;Sindh;62.52;12.9
Barley;Sindh;59.31;12.1
Barley;Sindh;60.29;12.3
Barley;Sindh;59.31;12.3
Barley;Sindh;59.55;12.5
Barley;Sindh;58.32;10.8
Barley;Sindh;61.53;12.2
Barley;Sindh;58.57;11.4
Barley;Sindh;54.86;11.3
Barley;Sindh;55.11;11.4
Barley;Sindh;56.59;11.4
